% r                       z                        imag(ewfd.Hr)
96.83154737848257         12.500000000000002       -1.836326153276893E-10
96.43505696778756         12.5                     -2.789333916751263E-11
99.04477774266923         8.344863068821413        -2.058138746767146E-12
99.36318516177948         8.14260712524603         -9.46112712224137E-12
99.68159258088973         7.940351181670644        -1.2018947378169376E-11
100                       7.738095238095259        -1.2499332297327167E-11
99.36318516177948         8.539432522071428        -1.4986399567610235E-11
99.68159258088976         8.337176578496043        -1.3987646425231146E-11
100                       8.134920634920656        -9.419010239017299E-12
99.68159258088973         8.734001975321437        -2.6038694828662332E-11
100.00000000000001        8.531746031746053        -8.463394104155282E-12
95.80333738695546         11.520491530085167       -1.587682472518874E-11
96.01391058056616         11.846994353390112       2.680057518526235E-10
96.22448377417686         12.173497176695054       2.727397419709018E-10
95.61670589469342         11.846994353390112       -2.9740964584970974E-10
95.82727908830412         12.173497176695058       -1.1763969826676084E-11
96.03785228191484         12.5                     2.0325659983641884E-10
95.43007440243139         12.173497176695054       -2.9723730645664597E-10
95.64064759604213         12.500000000000002       -1.889277577370098E-10
95.24344291016938         12.5                     -3.0204514631399703E-11
99.03982935269211         7.1545949952713705       -1.4114686533487738E-11
99.35988623512807         6.952269679387269        -7.531032124870641E-12
99.67994311756402         6.749944363503166        -9.279412366283061E-12
100                       6.547619047619065        -1.0160631689707432E-11
99.35988623512807         7.3490950762126666       -1.5991230422005648E-11
99.67994311756405         7.1467697603285645       -1.0836707098052562E-11
100                       6.944444444444463        -9.775206283458187E-12
99.67994311756402         7.543595157153962        -1.4775486256071E-11
100.00000000000001        7.341269841269862        -9.056097112900056E-12
99.03896673483882         5.959642219723779        -1.3104037303533966E-11
99.35931115655922         5.758809098863479        -8.216973939710335E-12
99.6796555782796          5.557975978003176        -1.0190818843329336E-11
100                       5.357142857142875        -1.089750905439552E-11
99.35931115655922         6.155634495688876        -1.4432229485819076E-11
99.67965557827964         5.954801374828573        -1.0465127470614454E-11
100                       5.753968253968272        -9.71363483273422E-12
99.6796555782796          6.35162677165397         -1.2211871671956418E-11
100.00000000000001        6.15079365079367         -9.065895062264994E-12
