           x [cm]           y [cm]           z [cm]       HxRe [A/m]       HxIm [A/m]       HyRe [A/m]       HyIm [A/m]       HzRe [A/m]       HzIm [A/m]
           8.4755          -7.0015          -4.7905      -0.79871726       0.91268283       0.41042307       -1.7656617      -0.27567565        1.9502143
           9.2125          -7.0015          -4.7905      -0.65339661       0.84311521       0.17575908       -1.5668981      -0.17990859        1.9236199
           9.9495          -7.0015          -4.7905      -0.51921666         0.773323      0.063042864       -1.4634323      -0.12189736         1.902715
          -9.9495          -6.2645          -4.7905       0.60171229      -0.83018345       0.12048995        -1.568566      -0.25635821         1.876057
          -9.2125          -6.2645          -4.7905       0.76226562       -0.9147678       0.24643943       -1.6799152      -0.30951494        1.8882558
          -8.4755          -6.2645          -4.7905       0.94111693       -1.0029687        0.5102129       -1.8950418      -0.39133111        1.8963838
          -7.7385          -6.2645          -4.7905        1.1288738       -1.0897352       0.84784365       -2.1430678       -0.4482967        1.8797922
          -7.0015          -6.2645          -4.7905        1.3115792        -1.167416        1.2460445       -2.4073853      -0.46301877         1.831715
          -6.2645          -6.2645          -4.7905        1.4685696       -1.2247607        1.7040269        -2.685689      -0.42912975        1.7498593
          -5.5275          -6.2645          -4.7905        1.5587455       -1.2392472        2.2135077        -2.970196       -0.3420651        1.6332132
          -4.7905          -6.2645          -4.7905        1.5475332       -1.1928774         2.737766       -3.2417107      -0.21892764        1.4940513
          -4.0535          -6.2645          -4.7905        1.4327441       -1.0854532        3.2282023       -3.4790709     -0.090570323         1.352579
          -3.3165          -6.2645          -4.7905        1.2361358       -0.9291603        3.6482747       -3.6680174      0.020803163        1.2242254
          -2.5795          -6.2645          -4.7905       0.98667336      -0.74001867        3.9785695        -3.803726       0.10528111        1.1177757
          -1.8425          -6.2645          -4.7905       0.71083379      -0.53287494        4.2096639       -3.8879437       0.16106029        1.0385987
          -1.1055          -6.2645          -4.7905        0.4262076      -0.31842574         4.356791       -3.9346004       0.19503376        0.9849031
          -0.3685          -6.2645          -4.7905       0.13990659      -0.10139854        4.4225135       -3.9520457       0.21025161       0.95937443
           0.3685          -6.2645          -4.7905      -0.14636388       0.11600158        4.4225273       -3.9505095       0.21128958       0.95910192
           1.1055          -6.2645          -4.7905      -0.43280554       0.33287051        4.3518586       -3.9285953       0.19687173       0.98600274
           1.8425          -6.2645          -4.7905      -0.71785617       0.54727197        4.2059283       -3.8801284        0.1647066        1.0393058
           2.5795          -6.2645          -4.7905      -0.99366492       0.75385284        3.9720473       -3.7929246       0.10911193        1.1197361
           3.3165          -6.2645          -4.7905       -1.2441596       0.94307715        3.6434588        -3.657124      0.025474552        1.2265567
           4.0535          -6.2645          -4.7905       -1.4402975        1.0985399        3.2229156       -3.4673491     -0.086262301        1.3560737
           4.7905          -6.2645          -4.7905       -1.5554698         1.205765         2.733531       -3.2305329      -0.21496677        1.4985296
           5.5275          -6.2645          -4.7905       -1.5662928        1.2516607        2.2099886       -2.9597535      -0.33872238        1.6388263
           6.2645          -6.2645          -4.7905       -1.4752891        1.2366356        1.7012599       -2.6761637      -0.42633194        1.7565408
           7.0015          -6.2645          -4.7905        -1.317215        1.1787096        1.2440127       -2.3988338      -0.46054131        1.8393613
