           x [cm]           y [cm]           z [cm]       HxRe [A/m]       HxIm [A/m]       HyRe [A/m]       HyIm [A/m]       HzRe [A/m]       HzIm [A/m]
            0.393            0.131           -1.441        2.0354462      0.087275811      -0.26288596     0.0013102083        2.3850596     0.0096655097
            0.655            0.131           -1.441       0.77682406      0.099161752      -0.32038832     0.0021692975          2.73141      0.011479207
            0.917            0.131           -1.441     -0.095812887       0.11659344      -0.30663392     0.0030355197        2.4314027     0.0059961285
            1.179            0.131           -1.441      -0.55484843       0.13963269      -0.26316237     0.0040159142        1.9317855     -0.010120986
           -1.179            0.393           -1.441      -0.45119116       0.14264204       0.55908614     -0.011258252       -1.7686255     0.0071157091
           -0.917            0.393           -1.441    -0.0021733455       0.11844745       0.66902077    -0.0079063661       -2.1906025    -0.0069241705
           -0.655            0.393           -1.441       0.80680883       0.10042422       0.71286958    -0.0053004147       -2.4158902     -0.011529572
           -0.393            0.393           -1.441        1.9263953      0.088155679       0.59269029    -0.0030574859       -2.0727146     -0.009477213
           -0.131            0.393           -1.441        2.8616741       0.08195959       0.23922563   -0.00099152443      -0.85398901    -0.0035682034
            0.131            0.393           -1.441        2.8616786      0.081988163      -0.23920287     0.0009996884       0.85400784     0.0036162673
            0.393            0.393           -1.441        1.9263971      0.088170543      -0.59269953     0.0030679053        2.0727282     0.0094777681
            0.655            0.393           -1.441        0.8067925       0.10041357      -0.71287006     0.0053061433        2.4158626      0.011545977
            0.917            0.393           -1.441    -0.0021370724       0.11845287      -0.66902292     0.0079079121        2.1906011     0.0069413213
            1.179            0.393           -1.441      -0.45119303       0.14264138      -0.55908531      0.011263989        1.7686261    -0.0071176691
           -1.179            0.655           -1.441      -0.29468468       0.14740202         0.744012     -0.013857601       -1.4899228     0.0018640482
           -0.917            0.655           -1.441       0.12494128       0.12160681       0.87566286    -0.0097420942       -1.7897267    -0.0084364014
           -0.655            0.655           -1.441       0.81676835        0.1026876       0.91316158    -0.0065166354       -1.9042757     -0.011434415
           -0.393            0.655           -1.441         1.705242      0.089935489       0.74293506    -0.0037491992       -1.5770895    -0.0090344762
           -0.131            0.655           -1.441        2.4066777      0.083484791       0.29555058    -0.0012269903      -0.63447821    -0.0033721956
            0.131            0.655           -1.441        2.4066789      0.083484322      -0.29555961     0.0012198114       0.63446724     0.0033671856
            0.393            0.655           -1.441        1.7052472      0.089926623      -0.74293423     0.0037460725        1.5770884     0.0090358825
            0.655            0.655           -1.441       0.81677115       0.10267919      -0.91316622     0.0065203249        1.9042737      0.011433398
            0.917            0.655           -1.441       0.12493815       0.12161183      -0.87565881     0.0097401831        1.7897263     0.0084322579
            1.179            0.655           -1.441      -0.29468837       0.14740059      -0.74401373      0.013855083        1.4899182    -0.0018591965
           -1.179            0.917           -1.441      -0.13030995       0.15158868       0.80290633     -0.010320945       -1.1703166    -0.0042213192
           -0.917            0.917           -1.441       0.23844072       0.12453108        0.9140594    -0.0074449708       -1.3499631    -0.0098588075
           -0.655            0.917           -1.441       0.78722847       0.10483769       0.91673911     -0.005014366       -1.3702545     -0.010871232
           -0.393            0.917           -1.441        1.4296318      0.091627181        0.7178793    -0.0028859996       -1.0836284     -0.008135289
           -0.131            0.917           -1.441        1.9013892      0.084939942       0.27836937   -0.00094118208      -0.42264789    -0.0029944154
            0.131            0.917           -1.441        1.9013906      0.084939659      -0.27837509    0.00094390602       0.42264929     0.0029928875
            0.393            0.917           -1.441        1.4296305       0.09162575      -0.71788108     0.0028874786        1.0836247     0.0081329895
            0.655            0.917           -1.441       0.78722489       0.10484094      -0.91674006     0.0050189565         1.370258      0.010871592
            0.917            0.917           -1.441       0.23843691       0.12452654      -0.91405696     0.0074399342         1.349966      0.009846475
            1.179            0.917           -1.441      -0.13030876       0.15158296      -0.80290633      0.010324037        1.1703203     0.0042227576
           -1.179            1.179           -1.441      0.008024375       0.15293023       0.76424134   -0.00089384848      -0.87185627    -0.0094033787
           -0.917            1.179           -1.441       0.31048954       0.12563922       0.83504105   -0.00086490001      -0.96221131     -0.010314821
           -0.655            1.179           -1.441       0.71832222       0.10561966       0.80013108   -0.00054366566      -0.92941344    -0.0094087664
