           x [cm]           y [cm]           z [cm]       HxRe [A/m]       HxIm [A/m]       HyRe [A/m]       HyIm [A/m]       HzRe [A/m]       HzIm [A/m]
             5.24           -4.192           -4.978       0.25680336     -0.088144988      -0.04325942      0.046729032      -0.17532532       0.11572399
            5.764           -4.192           -4.978       0.23245715     -0.098389387     -0.036883738      0.045061275      -0.16860116       0.11639043
           -5.764           -3.668           -4.978      -0.25664359        0.1036052     -0.019181445      0.034410812      -0.16001022       0.11268408
            -5.24           -3.668           -4.978      -0.28753638       0.09170378     -0.023716392      0.034409333      -0.16621678       0.11207868
           -4.716           -3.668           -4.978      -0.30821392      0.078114204     -0.036505956       0.03497104      -0.17266679       0.10686109
           -4.192           -3.668           -4.978      -0.32344544      0.063624598     -0.053696312      0.035832997      -0.17924659      0.099184602
           -3.668           -3.668           -4.978      -0.32472748      0.050506312     -0.086611539      0.036815681      -0.18845326      0.088967197
           -3.144           -3.668           -4.978      -0.32233092      0.037855402      -0.12269454      0.037754942      -0.19918436       0.07915061
            -2.62           -3.668           -4.978      -0.30081749      0.028505661      -0.16716357      0.037847757      -0.22469872      0.080251142
           -2.096           -3.668           -4.978      -0.27175099      0.020528799      -0.20917802      0.037379604       -0.2519888      0.085526705
           -1.572           -3.668           -4.978      -0.22303918      0.016122762      -0.24480818      0.035452366      -0.28389737       0.10166143
           -1.048           -3.668           -4.978      -0.16493626      0.011509173       -0.2753256      0.032620117      -0.31458849       0.12144421
           -0.524           -3.668           -4.978     -0.087073162     0.0061126039      -0.29271221      0.029196097      -0.33633599       0.13934396
                0           -3.668           -4.978   -0.00086289097     9.188926e-06      -0.29859135      0.027731631      -0.34432763       0.14641175
            0.524           -3.668           -4.978      0.085363939    -0.0060632103      -0.29284713      0.029261328      -0.33644116       0.13927869
            1.048           -3.668           -4.978        0.1633061     -0.011455754      -0.27559397      0.032489214      -0.31475952       0.12090681
            1.572           -3.668           -4.978       0.22148246     -0.016051076       -0.2450318      0.035513699      -0.28411844       0.10154157
            2.096           -3.668           -4.978       0.27030522     -0.020463208      -0.20938486      0.037425488      -0.25222874      0.085366786
             2.62           -3.668           -4.978       0.29950333      -0.02843781      -0.16738749      0.037900589      -0.22499084      0.080073707
            3.144           -3.668           -4.978       0.32115638      -0.03778208      -0.12294852      0.037823327       -0.1995414      0.078964323
            3.668           -3.668           -4.978       0.32372004     -0.050481349     -0.086852893      0.036891196      -0.18889645      0.088748932
            4.192           -3.668           -4.978       0.32260612     -0.063655026     -0.053916629      0.035913024      -0.17977205        0.0989343
            4.716           -3.668           -4.978       0.30753636     -0.078218833     -0.036672872      0.035043251       -0.1732409       0.10658911
             5.24           -3.668           -4.978       0.28701997     -0.091888912     -0.023836162      0.034477528      -0.16682342       0.11179238
            5.764           -3.668           -4.978       0.25628716      -0.10388266     -0.019265795      0.034482118      -0.16061908       0.11239728
           -5.764           -3.144           -4.978      -0.27813444       0.10732398    0.00028805574      0.024350191       -0.1530589       0.10920601
            -5.24           -3.144           -4.978      -0.31533349      0.093748525    -0.0023485334      0.022917386      -0.15883039       0.10855417
           -4.716           -3.144           -4.978      -0.34197396      0.078662641     -0.012662606      0.021786889      -0.16640919       0.10367908
           -4.192           -3.144           -4.978       -0.3629854      0.062771484     -0.027069781      0.020817559      -0.17495154      0.096552446
           -3.668           -3.144           -4.978      -0.36901122      0.048608508     -0.059516922      0.020678792      -0.19098833      0.087770358
           -3.144           -3.144           -4.978       -0.3709318      0.035031334     -0.095675267      0.020629263      -0.20956653      0.079544246
            -2.62           -3.144           -4.978      -0.35025224       0.02557138      -0.14249036      0.019972812      -0.24601343      0.082395464
           -2.096           -3.144           -4.978      -0.32009724      0.017709782      -0.18709084      0.018992478      -0.28405711      0.089404464
           -1.572           -3.144           -4.978       -0.2652967      0.014005471      -0.22593118      0.017169725      -0.32625413       0.10722777
           -1.048           -3.144           -4.978      -0.19819108       0.01010873      -0.25944775       0.01464927      -0.36625594       0.12883909
           -0.524           -3.144           -4.978      -0.10508415     0.0054282327      -0.27940854      0.011698107      -0.39419255       0.14810966
                0           -3.144           -4.978   -0.00093966728    1.6639096e-05      -0.28607515      0.010443128      -0.40434811       0.15570071
            0.524           -3.144           -4.978       0.10323433    -0.0053997156      -0.27949598      0.011804986      -0.39426243       0.14803723
            1.048           -3.144           -4.978       0.19641908     -0.010061653      -0.25985685      0.014618512      -0.36648616        0.1282167
            1.572           -3.144           -4.978        0.2636297      -0.01394559      -0.22612269      0.017254613      -0.32644823       0.10711426
            2.096           -3.144           -4.978       0.31855759     -0.017656177      -0.18725157      0.019031024      -0.28429115      0.089232653
             2.62           -3.144           -4.978       0.34887251     -0.025514912      -0.14266463      0.020009158      -0.24629766      0.082197614
            3.144           -3.144           -4.978       0.36972448     -0.034968495     -0.095880099      0.020680377      -0.20990497      0.079332754
            3.668           -3.144           -4.978       0.36799014     -0.048585083     -0.059709594      0.020739349      -0.19140299      0.087527126
            4.192           -3.144           -4.978       0.36215064     -0.062796533     -0.027242571      0.020885261      -0.17543921      0.096277282
            4.716           -3.144           -4.978       0.34131974     -0.078771137     -0.012787415      0.021849973      -0.16694003       0.10337904
             5.24           -3.144           -4.978       0.31485832     -0.093946859     -0.002432649      0.022978382      -0.15938939       0.10823571
            5.764           -3.144           -4.978       0.27783555      -0.10762414     0.0002309652      0.024413843       -0.1536179       0.10888125
           -5.764            -2.62           -4.978      -0.29111737       0.10571691      0.025096241      0.016711196      -0.15212691       0.10788159
            -5.24            -2.62           -4.978      -0.33393857      0.090537354      0.024825513      0.014728121        -0.158393       0.10728545
           -4.716            -2.62           -4.978      -0.36696592      0.074260928      0.018433234      0.012894878      -0.16913208       0.10356608
           -4.192            -2.62           -4.978      -0.39477193      0.057399713     0.0087773651      0.011141511      -0.18225585       0.09818162
           -3.668            -2.62           -4.978      -0.40765321      0.042460665      -0.02027164      0.010199341      -0.20762861      0.091211073
           -3.144            -2.62           -4.978      -0.41622263      0.028223535     -0.053437829     0.0094029475      -0.23646687      0.084714323
            -2.62            -2.62           -4.978       -0.3992818      0.019242954     -0.099775881     0.0088019781       -0.2852563      0.088038869
           -2.096            -2.62           -4.978      -0.37060374      0.012061632      -0.14450419     0.0081831496       -0.3355715      0.095622487
           -1.572            -2.62           -4.978      -0.31139722     0.0095601371       -0.1850456     0.0075178691      -0.38985527       0.11428388
           -1.048            -2.62           -4.978      -0.23591641     0.0069709094      -0.22083838     0.0059173456      -0.44123724       0.13675968
           -0.524            -2.62           -4.978      -0.12587453      0.003817244      -0.24274185     0.0037548912      -0.47715601       0.15677907
                0            -2.62           -4.978   -0.00098075124    2.0609461e-05      -0.25032943     0.0026986278        -0.490217       0.16458242
            0.524            -2.62           -4.978       0.12392931    -0.0038053484      -0.24281524     0.0037866437       -0.4771958       0.15672046
            1.048            -2.62           -4.978       0.23404908    -0.0069486485      -0.22093965     0.0060367067      -0.44150195       0.13619465
            1.572            -2.62           -4.978       0.30965906     -0.009527659      -0.18507621     0.0075546089      -0.39004534       0.11414823
            2.096            -2.62           -4.978       0.36901644     -0.012028336       -0.1446075     0.0082006501      -0.33580866      0.095450521
             2.62            -2.62           -4.978       0.39787656     -0.019208848      -0.09991809      0.008820015      -0.28553444      0.087842986
            3.144            -2.62           -4.978       0.41501138     -0.028188623     -0.053605922     0.0094291242      -0.23678368        0.0844993
            3.668            -2.62           -4.978       0.40664899     -0.042457297     -0.020435439      0.010236062      -0.20800596      0.090966165
            4.192            -2.62           -4.978       0.39397267     -0.057437148     0.0086251711      0.011188541      -0.18269239      0.097906336
            4.716            -2.62           -4.978       0.36635268     -0.074381553      0.018323936      0.012949646       -0.1696092       0.10326231
             5.24            -2.62           -4.978       0.33351183     -0.090747803      0.024754034      0.014790543      -0.15889755       0.10695903
            5.764            -2.62           -4.978       0.29087806      -0.10602966       0.02505306       0.01678111       -0.1526342       0.10754347
